Origin,Destination,Total
New York,Florida,35577
California,Arizona,32326
California,Oregon,29561
Puerto Rico,Florida,26204
California,Nevada,23745
New York,New Jersey,22282
California,Texas,22175
California,Washington,19341
New Jersey,Florida,18854
Illinois,Florida,18118
New Jersey,Pennsylvania,17358
California,Idaho,15746
New York,Pennsylvania,15266
New York,North Carolina,15031
Illinois,Wisconsin,14689
Illinois,Texas,14572
Illinois,Indiana,12528
District of Columbia,Maryland,11976
Texas,Oklahoma,11857
Pennsylvania,Florida,11413
New York,Connecticut,11202
Maryland,Florida,11152
Illinois,California,11071
Louisiana,Texas,11026
New York,Texas,10606
Virginia,Florida,10368
Florida,North Carolina,10324
Massachusetts,New Hampshire,9317
New York,California,9296
California,North Carolina,8946
Illinois,Arizona,8936
New Jersey,North Carolina,8408
Florida,Georgia,8235
New York,Massachusetts,8007
Illinois,Georgia,7605
Maryland,Pennsylvania,7583
Florida,Tennessee,7447
Illinois,Tennessee,7290
Virginia,Tennessee,7218
Ohio,Florida,7103
California,Utah,7095
Massachusetts,Florida,6713
Virginia,California,6653
Illinois,Missouri,6620
New Jersey,South Carolina,6370
California,Florida,6308
Mississippi,Texas,6143
Colorado,Arizona,6045
Puerto Rico,Pennsylvania,5840
Puerto Rico,Massachusetts,5601
Illinois,Colorado,5480
New York,South Carolina,5460
Pennsylvania,Texas,5458
New York,Colorado,5456
New York,Ohio,5294
Texas,Colorado,5189
Pennsylvania,California,5146
New York,Maryland,5039
Utah,Florida,5019
New Jersey,California,4938
Pennsylvania,Virginia,4933
California,Indiana,4906
Colorado,Nevada,4718
Michigan,Florida,4690
Connecticut,Florida,4660
Wisconsin,California,4607
Minnesota,Arizona,4506
Pennsylvania,Ohio,4432
Massachusetts,North Carolina,4389
New Jersey,Georgia,4295
Maryland,Delaware,4293
New Jersey,Massachusetts,4273
New York,Michigan,4249
Georgia,North Carolina,4208
Florida,South Carolina,4202
Illinois,Iowa,4160
Florida,Washington,4135
Minnesota,Florida,4102
California,Missouri,4077
New York,Georgia,4067
New Jersey,Colorado,4067
Ohio,Kentucky,4058
Massachusetts,California,4029
Illinois,Washington,4002
Hawaii,California,3933
